문서번호,보고일자,문서구분,제목,수(발)신자,보고자,검토자,상태,붙임,종류,분리,생산등록번호,공개구분,목록공개여부,문서비공개사유,외부(민원인)주소,등록구분
10410,2025.11.21,접수,2026년 전북특별자치도 양성평등정책 시행계획 제출 요청,전북특별자치도 여성가족과,박시연,,담당확인,O,전자,X,여성가족과-22566,대국민공개,O,,,
10409,2025.11.21,접수,소송대리인 지정 요청(서울중앙지법 2025가소359524 구상금),전북특별자치도도로관리사업소 시설과,함재화,함재화,접수,O,전자,X,시설과-9441,비공개,O,소송관련,,
10408,2025.11.21,접수,[이송] 2025년 법제처 주관 법제교육유공 포상 후보자 추천 요청,전북특별자치도인재개발원 교육지원과,오진웅,오진웅,접수,O,전자,X,교육지원과-11949,대국민공개,O,,,
10407,2025.11.21,접수,타 부처 법령 제·개정안 의견조회(청탁금지법 등 22건),행정안전부 법무담당관,박시연,,담당확인,O,전자,X,법무담당관-12168,비공개,O,"(5호) 감사, 감독, 계약, 의사결정 등 관련 정보",,
10405,2025.11.21,접수,이광희 국회의원 요구자료 철회 알림(공유재산 매입·매각 관련),전북특별자치도 회계과,박시연,,담당확인,X,전자,X,회계과-23932,비공개,O,내부검토 과정,,
10404,2025.11.21,접수,2025년도 국군장병 등 위문성금 모금 협조 요청(재안내),전북특별자치도 총무과,박시연,,담당확인,O,전자,X,총무과-23642,대국민공개,O,,,
10403,2025.11.21,접수,조례규칙심의회 심의 의뢰(전북특별자치도 직장운동경기부 설치 및 운영 조례 시행규칙 전부개정규칙안),전북특별자치도 체육정책과,이유경,이유경,접수,O,전자,X,체육정책과-12355,대국민공개,O,,,
10402,2025.11.21,접수,정부 합동평가 지표 현황 제출(11월말 기준),진안군 기획홍보실,이유경,이유경,접수,O,전자,X,기획홍보실-12815,비공개,O,"(5호) 감사, 감독, 계약, 의사결정 등 관련 정보",,
10398,2025.11.21,접수,2025년 4분기 홈페이지 종합 점검 및 현행화 협조 요청,전북특별자치도 소통기획과,박시연,박시연,접수,O,전자,X,소통기획과-8199,대국민공개,O,,,
10397,2025.11.21,접수,행정심판청구에 따른 시스템 사용자계정 발급신청서 제출,익산시 행정지원과,박소연,,이송,O,전자,X,행정지원과-38712,비공개,O,"(5호) 감사, 감독, 계약, 의사결정 등 관련 정보 (6호) 개인 사생활 관련 정보",,
10396,2025.11.21,접수,행정정보공동이용시스템 점검 및 공통인프라 교체작업에 따른 서비스 중단 안내,전북특별자치도 행정정보과,박시연,,담당확인,O,전자,X,행정정보과-16688,비공개,O,의사결정 과정,,
10395,2025.11.21,접수,행정안전부 조직개편에 따른 전자문서유통 중단 및 조직정보(LDAP) 변경 안내,전북특별자치도 행정정보과,박시연,,담당확인,O,전자,X,행정정보과-16689,대국민공개,O,,,
10394,2025.11.21,접수,행정소송 진행상황 보고(전주지방법원 2025구합1282 징계처분취소),전북특별자치도감사위원회 사무국,함재화,함재화,접수,X,전자,X,사무국-15279,비공개,X,소송,,
10393,2025.11.21,접수,(전직원 공람) 전북특별자치도 자치법규 공포사항 알림('25.11.21일자),전북특별자치도 법무행정과,박시연,,담당확인,X,전자,X,법무행정과-10388,대국민공개,O,,,
10392,2025.11.21,접수,전북특별자치도 고문변호사 자문 의뢰,전북특별자치도 금융사회적경제과,함재화,,담당확인,O,전자,X,금융사회적경제과-7924,비공개,O,의사결정 과정,,
10386,2025.11.20,접수,2025년 법제처 법령해석 20주년 기념행사 참석 요청,법제처 법령해석총괄과,김성곤,김성곤,접수,O,전자,X,법령해석총괄과-5197,비공개,O,"(5호) 감사, 감독, 계약, 의사결정 등 관련 정보",,
10385,2025.11.20,접수,2025년 12월 당직명령 통보,전북특별자치도 총무과,박시연,,담당확인,O,전자,X,총무과-23596,부분공개,O,개인정보 포함,,
10384,2025.11.20,접수,전북특별자치도 고문변호사 자문의뢰,전북특별자치도감사위원회 사무국,함재화,,담당확인,O,전자,X,사무국-15269,비공개,O,민원 조사에 관한 사항,,
10381,2025.11.20,접수,「제3기 국가비전과 국정과제 심화과정」교육 안내 및 대상자 추천 요청,전북특별자치도인재개발원 교육지원과,박시연,,담당확인,O,전자,X,교육지원과-11920,대국민공개,O,,,
10380,2025.11.20,접수,제14회 국민권익의 날 기념 포상 관련 행정심판부문 유공자 추천 요청,중앙행정심판위원회 행정심판총괄과,박미경,,담당확인,O,전자,X,행정심판총괄과-9532,비공개,O,(6호) 개인 사생활 관련 정보,,
10379,2025.11.20,접수,2025년 11월 중앙공모사업 추진상황 제출 협조 요청,전북특별자치도 정책기획관,이유경,,담당확인,O,전자,X,정책기획관-14013,비공개,O,내부검토 과정,,
