문서번호,보고일자,문서구분,제목,수(발)신자,보고자,검토자,상태,붙임,종류,분리,생산등록번호,공개구분,목록공개여부,문서비공개사유,외부(민원인)주소,등록구분
8935,2025.11.21,접수,2025년 전북특별자치도 혁신평가 실적보고서 제출,전북특별자치도 정책기획관,이경섭,이경섭,접수,O,전자,X,정책기획관-14047,비공개,O,내부검토 과정,,
8934,2025.11.21,접수,2026년 전북특별자치도 양성평등정책 시행계획 제출 요청,전북특별자치도 여성가족과,임현주,,담당확인,O,전자,X,여성가족과-22566,대국민공개,O,,,
8933,2025.11.21,접수,2025년도 국군장병 등 위문성금 모금 협조 요청(재안내),전북특별자치도 총무과,임현주,,담당확인,O,전자,X,총무과-23642,대국민공개,O,,,
8932,2025.11.21,접수,이광희 국회의원 요구자료 철회 알림(공유재산 매입·매각 관련),전북특별자치도 회계과,임현주,,담당확인,X,전자,X,회계과-23932,비공개,O,내부검토 과정,,
8931,2025.11.21,접수,(전직원 공람) 전북특별자치도 자치법규 공포사항 알림('25.11.21일자),전북특별자치도 법무행정과,임현주,,담당확인,X,전자,X,법무행정과-10388,대국민공개,O,,,
8930,2025.11.21,접수,'25년 4분기 노사가 함께하는 '자랑스러운 우리의 혁신 주인공' 추천,전북특별자치도 주택건축과,김지우,김지우,접수,O,전자,X,주택건축과-27866,부분공개,O,개인정보 및 내부검토,,
8929,2025.11.21,접수,행정안전부 조직개편에 따른 전자문서유통 중단 및 조직정보(LDAP) 변경 안내,전북특별자치도 행정정보과,임현주,,담당확인,O,전자,X,행정정보과-16689,대국민공개,O,,,
8928,2025.11.21,접수,행정정보공동이용시스템 점검 및 공통인프라 교체작업에 따른 서비스 중단 안내,전북특별자치도 행정정보과,임현주,,담당확인,O,전자,X,행정정보과-16688,비공개,O,의사결정 과정,,
8927,2025.11.21,접수,"’24년, ’25년 전북청년 함께 두배적금 사업 추진현황 제출(11월)",정읍시 일자리경제과,문종환,,담당확인,O,전자,X,일자리경제과-54023,대국민공개,O,,,
8924,2025.11.21,접수,착수계(2025년 대한민국 정부박람회 전북전시관 행사용역),JI(제이아이),이경섭,,담당확인,O,비전자,X,-,비공개,O,내부검토자료,,일반문서 접수
8921,2025.11.20,접수,「제3기 국가비전과 국정과제 심화과정」교육 안내 및 대상자 추천 요청,전북특별자치도인재개발원 교육지원과,임현주,,담당확인,O,전자,X,교육지원과-11920,대국민공개,O,,,
8920,2025.11.20,접수,지방소멸대응기금 사용 기준 제도개선 건의,전북특별자치도 사회복지정책과,이지희,,담당확인,O,전자,X,사회복지정책과-23169,비공개,O,내부사항,,
8919,2025.11.20,접수,2025년 11월 중앙공모사업 추진상황 제출 협조 요청,전북특별자치도 정책기획관,정후락,,담당확인,O,전자,X,정책기획관-14013,비공개,O,내부검토 과정,,
8918,2025.11.20,접수,중앙부처 법령 제·개정안 의견조회(소방장비관리법 등 22건),전북특별자치도 법무행정과,임현주,,담당확인,O,전자,X,법무행정과-10378,비공개,O,내부검토,,
8917,2025.11.20,접수,「2026년 광주청년통합플랫폼 유지관 용역」사업제안서 평가위원 후보자 추천 요청,광주광역시 청년정책과,문종환,,담당확인,O,전자,X,청년정책과-8122,대국민공개,O,,,
8916,2025.11.20,접수,청렴도 및 만족도 조사시스템 '25년 10월 명부 제출 협조,전북특별자치도감사위원회 사무국,임현주,,담당확인,O,전자,X,사무국-15259,부분공개,O,개인정보 등,,
8915,2025.11.20,접수,[이송] 사회보장제도 신설 사업 협의요청에 따른 의견조회,전북특별자치도 일자리민생경제과,이광민,이광민,접수,O,전자,X,일자리민생경제과-14928,대국민공개,O,,,
8914,2025.11.20,접수,2026년('25년 실적) 지자체 합동평가 지표 조정매뉴얼(11.4.기준) 책자 배부,전북특별자치도 자치행정과,임현주,,담당확인,O,전자,X,자치행정과-11656,대국민공개,O,,,
8913,2025.11.20,접수,원격접속시스템 및 통합인증 관련 보안강화 협조,전북특별자치도 행정정보과,임현주,,담당확인,O,전자,X,행정정보과-15267,비공개,O,내부 보안 자료,,
8912,2025.11.20,접수,중앙부처 법령 제·개정안 의견조회(신용보증기금법 등 21건),전북특별자치도 법무행정과,임현주,,담당확인,O,전자,X,법무행정과-10368,비공개,O,내부검토,,
8911,2025.11.20,접수,중앙부처 법령 제·개정안 의견조회(산업발전법 등 22건),전북특별자치도 법무행정과,임현주,,담당확인,O,전자,X,법무행정과-10367,비공개,O,내부검토,,
8910,2025.11.20,접수,(전직원 공람) 법령 제ㆍ개정에 따른 자치법규 위임사항 통보,전북특별자치도 법무행정과,임현주,,담당확인,O,전자,X,법무행정과-10350,대국민공개,O,,,
8909,2025.11.20,접수,장애인 정보접근권 보장을 위한 『장벽 없는 키오스크』가이드라인 배포 협조 요청,전북특별자치도 장애인복지정책과,임현주,,담당확인,O,전자,X,장애인복지정책과-15226,대국민공개,O,,,
8908,2025.11.20,접수,제27회 워크스마트포럼 참석자 명단 제출,군산시 기획예산과,이경섭,,담당확인,O,전자,X,기획예산과-18420,비공개,O,"(5호) 감사, 감독, 계약, 의사결정 등 관련 정보",,
8907,2025.11.20,접수,2025년 청년월세 한시 특별지원 사업 집행실적 제출(11월),군산시 주택행정과,박용우,박용우,접수,O,전자,X,주택행정과-35553,부분공개,O,"(5호) 감사, 감독, 계약, 의사결정 등 관련 정보",,
8906,2025.11.20,접수,수의계약 배제사유 여부 조회(잘짓는건축),전북특별자치도수산기술연구소 수산연구과,임현주,,담당확인,O,전자,X,수산연구과-7310,대국민공개,O,,,
8905,2025.11.20,접수,「2025년 규제혁신 유공자 도지사 포상 계획」 안내 및 대상자 추천 요청,전북특별자치도 자치제도과,이경섭,,담당확인,O,전자,X,자치제도과-5340,대국민공개,O,,,
8904,2025.11.20,접수,이광희 국회의원 요구자료 제출 요청(공유재산 매입·매각 관련),전북특별자치도 회계과,임현주,,담당확인,O,전자,X,회계과-23859,비공개,O,내부검토 과정,,
8903,2025.11.20,접수,2025년 4분기 홈페이지 종합 점검 및 현행화 협조 요청,전북특별자치도 소통기획과,임현주,,담당확인,O,전자,X,소통기획과-8199,대국민공개,O,,,
8902,2025.11.20,접수,2025년 12월 당직명령 통보,전북특별자치도 총무과,임현주,,담당확인,O,전자,X,총무과-23596,부분공개,O,개인정보 포함,,
