문서번호,보고일자,문서구분,제목,수(발)신자,보고자,검토자,상태,붙임,종류,분리,생산등록번호,공개구분,목록공개여부,문서비공개사유,외부(민원인)주소,등록구분
14040,2025.11.21,접수,이광희 국회의원 요구자료 철회 알림(공유재산 매입·매각 관련),전북특별자치도 회계과,고은아,고은아,접수,X,전자,X,회계과-23932,비공개,O,내부검토 과정,,
14038,2025.11.21,접수,2023~2024년 도민·공무원 우수채택제안 실행부서 평가서 제출,전북특별자치도 산림자원과,안순남,안순남,접수,O,전자,X,산림자원과-22364,대국민공개,O,,,
14037,2025.11.21,접수,2025년 11월 중앙공모사업 추진상황 제출 협조 요청,전북특별자치도 정책기획관,김지혜,김지혜,접수,O,전자,X,정책기획관-14013,비공개,O,내부검토 과정,,
14036,2025.11.21,접수,2026년('25년 실적) 지자체 합동평가 지표 조정매뉴얼(11.4.기준) 책자 배부,전북특별자치도 자치행정과,이효림,,담당확인,O,전자,X,자치행정과-11656,대국민공개,O,,,
14035,2025.11.21,접수,행정안전부 조직개편에 따른 전자문서유통 중단 및 조직정보(LDAP) 변경 안내,전북특별자치도 행정정보과,김혜수,,담당확인,O,전자,X,행정정보과-16689,대국민공개,O,,,
14034,2025.11.21,접수,행정정보공동이용시스템 점검 및 공통인프라 교체작업에 따른 서비스 중단 안내,전북특별자치도 행정정보과,김혜수,,담당확인,O,전자,X,행정정보과-16688,비공개,O,의사결정 과정,,
14033,2025.11.21,접수,청렴도 및 만족도 조사시스템 '25년 10월 명부 제출 협조,전북특별자치도감사위원회 사무국,김혜수,,담당확인,O,전자,X,사무국-15259,부분공개,O,개인정보 등,,
14032,2025.11.21,접수,원격접속시스템 및 통합인증 관련 보안강화 협조,전북특별자치도 행정정보과,김혜수,김혜수,접수,O,전자,X,행정정보과-15267,비공개,O,내부 보안 자료,,
14031,2025.11.21,접수,2025년 4분기 홈페이지 종합 점검 및 현행화 협조 요청,전북특별자치도 소통기획과,김혜수,,담당확인,O,전자,X,소통기획과-8199,대국민공개,O,,,
14030,2025.11.21,접수,중앙부처 법령 제·개정안 의견조회(소방장비관리법 등 22건),전북특별자치도 법무행정과,김혜수,,담당확인,O,전자,X,법무행정과-10378,비공개,O,내부검토,,
14029,2025.11.21,접수,제111차 실무협의회 서면심의 의결 알림,대한민국시도지사협의회,최강철,,담당확인,O,전자,X,정책기획부-1726,비공개,O,"(5호) 감사, 감독, 계약, 의사결정 등 관련 정보",,
