문서번호,보고일자,문서구분,제목,수(발)신자,보고자,검토자,상태,붙임,종류,분리,생산등록번호,공개구분,목록공개여부,문서비공개사유,외부(민원인)주소,등록구분
16725,2025.11.21,접수,지자체 통합관제센터 AI CCTV 도입률 및 AI 관제 관련 기술 현황 조사 협조 요청 회신(수정),임실군 안전관리과,김대연,김대연,접수,O,전자,X,안전관리과-25030,비공개,O,"(5호) 감사, 감독, 계약, 의사결정 등 관련 정보",,
16723,2025.11.21,접수,[이송] 2025년 하반기 디지털정부 혁신 유공(장관표창) 후보자 추천 요청,전북특별자치도 디지털산업과,송현민,,이송,O,전자,X,디지털산업과-5916,대국민공개,O,,,
16722,2025.11.21,접수,범정부 AI 공통기반 서비스 개시에 따른 방화벽 포트 허용 요청서 제출,전주시 정보화정책과,김윤주,김윤주,접수,O,전자,X,정보화정책과-14654,부분공개,O,"(2호) 안보, 국방, 통일, 외교 등 관련 정보",,
16721,2025.11.21,접수,2026년 전북특별자치도 양성평등정책 시행계획 제출 요청,전북특별자치도 여성가족과,이재연,이재연,접수,O,전자,X,여성가족과-22566,대국민공개,O,,,
16720,2025.11.21,접수,'25. 10월 개인정보처리시스템 접속기록 점검 및 조치결과서 제출,전북특별자치도자치경찰위원회 자치경찰정책과,강혜준,강혜준,접수,O,전자,X,자치경찰정책과-5835,비공개,O,개인정보시스템 관리,,
16719,2025.11.21,접수,감리원 배치현황 신고서 제출,선명기술사사무소,김대연,김대연,접수,O,전자,X,M00046-830059,비공개,O,(6호) 개인 사생활 관련 정보,,
16718,2025.11.21,접수,감리원 배치현황 신고서 제출,선명기술사사무소,김대연,김대연,접수,O,전자,X,M00046-829638,비공개,O,(6호) 개인 사생활 관련 정보,,
16717,2025.11.21,접수,2025년 11월 중 사이버보안진단의 날 실시 결과 제출(정읍소방서),정읍소방서 소방행정과,김윤주,김윤주,접수,O,전자,X,소방행정과-13198,비공개,O,보안관리,,
16716,2025.11.21,접수,2025년 11월 사이버보안 진단의 날 실시 및 결과 제출,전북특별자치도동물위생시험소 방역과,김윤주,김윤주,접수,O,전자,X,방역과-10475,비공개,O,보안사항,,
16714,2025.11.21,접수,[이송] '26년도 전라북도 중소기업지원 시책안내서 제작을 위한 기초자료 제출 협조,전북특별자치도 디지털산업과,송현민,,이송,O,전자,X,디지털산업과-5915,대국민공개,O,,,
16712,2025.11.21,접수,제안서 평가위원 추천 요청(2026년 정보보호시스템 통합유지관리 용역),양주시 스마트정보담당관,송현민,,담당확인,O,전자,X,스마트정보담당관-7171,대국민공개,O,,,
16711,2025.11.21,접수,통합관제센터 AI관제 관련 기술 현황 제출,남원시 안전재난과,김대연,김대연,접수,O,전자,X,안전재난과-22743,비공개,O,"(5호) 감사, 감독, 계약, 의사결정 등 관련 정보",,
16710,2025.11.21,접수,지자체 통합관제센터 AI CCTV 도입률 및 AI 관제 관련 기술 현황 조사 협조 요청 회신,정읍시 정보통신과,김대연,김대연,접수,O,전자,X,정보통신과-15373,대국민공개,O,,,
16709,2025.11.21,접수,정보통신공사업 양도양수(분할합병) 신고 접수 알림 및 제출서류 이관,한국정보통신공사협회 전북특별자치도회 전북특별자치도회사무처/한국정보통신공사협회 전북특별자치도회,황건우,황건우,접수,O,전자,X,통협전북2025-3493,비공개,O,(6호) 개인 사생활 관련 정보,,
16708,2025.11.21,접수,지자체 통합관제센터 AI CCTV 도입률 및 AI 관제 관련 기술 현황 조사 협조 요청 회신,순창군 행정과,김대연,김대연,접수,O,전자,X,행정과-32244,대국민공개,O,,,
16707,2025.11.21,접수,방범용 CCTV 카메라 임시중단 안내,김포시 스마트도시과,김대연,김대연,접수,X,전자,X,스마트도시과-10994,대국민공개,O,,,
16706,2025.11.21,접수,통합관제센터 AI관제 관련 현황 조사자료 제출,완주군 재난안전과,김대연,김대연,접수,O,전자,X,재난안전과-18463,부분공개,O,"(5호) 감사, 감독, 계약, 의사결정 등 관련 정보",,
16701,2025.11.21,접수,2025년도 국군장병 등 위문성금 모금 협조 요청(재안내),전북특별자치도 총무과,이재연,,담당확인,O,전자,X,총무과-23642,대국민공개,O,,,
16700,2025.11.21,접수,이광희 국회의원 요구자료 철회 알림(공유재산 매입·매각 관련),전북특별자치도 회계과,국중덕,국중덕,접수,X,전자,X,회계과-23932,비공개,O,내부검토 과정,,
16699,2025.11.21,접수,(전직원 공람) 전북특별자치도 자치법규 공포사항 알림('25.11.21일자),전북특별자치도 법무행정과,이재연,,담당확인,X,전자,X,법무행정과-10388,대국민공개,O,,,
16698,2025.11.21,접수,전북 빅데이터 허브 접속기록 점검 및 조치 결과서(10월),전북특별자치도 디지털산업과,강혜준,강혜준,접수,X,전자,X,디지털산업과-5893,비공개,O,비공개 정보 포함,,
16697,2025.11.21,접수,2025년 11월 중 사이버보안진단의 날 실시 및 결과 제출,전북특별자치도 바이오방위산업과,김윤주,김윤주,접수,O,전자,X,바이오방위산업과-5078,비공개,O,보안사항 포함,,
16696,2025.11.21,접수,행정안전부 조직개편에 따른 전자문서유통 중단 및 조직정보(LDAP) 변경 안내,전북특별자치도 행정정보과,김영대,,담당확인,O,전자,X,행정정보과-16689,대국민공개,O,,,
16695,2025.11.21,접수,행정정보공동이용시스템 점검 및 공통인프라 교체작업에 따른 서비스 중단 안내,전북특별자치도 행정정보과,김영대,,담당확인,O,전자,X,행정정보과-16688,비공개,O,의사결정 과정,,
16694,2025.11.21,접수,2025년 제11차 정보화사업 보안성 검토 대상사업 신청서 제출,정읍시 정보통신과,김지수,김지수,접수,O,전자,X,정보통신과-15353,대국민공개,O,,,
16686,2025.11.20,접수,2025년 4분기 홈페이지 종합 점검 및 현행화 협조 요청,전북특별자치도 소통기획과,이재연,,담당확인,O,전자,X,소통기획과-8199,대국민공개,O,,,
16685,2025.11.20,접수,2025년 12월 당직명령 통보,전북특별자치도 총무과,이재연,,담당확인,O,전자,X,총무과-23596,부분공개,O,개인정보 포함,,
16684,2025.11.20,접수,2025년도 디지털 수준진단 1차 진단결과 송부 및 이의신청 안내,한국지역정보개발원 디지털정책기획부,국중덕,,담당확인,O,전자,X,디지털정책기획부-2219,비공개,O,"(5호) 감사, 감독, 계약, 의사결정 등 관련 정보",,
16683,2025.11.20,접수,2025년 11월 중 사이버보안진단 실시 결과 제출,전북특별자치도보건환경연구원 수계조사과,김윤주,김윤주,접수,O,전자,X,수계조사과-3948,비공개,O,보안 자료,,
16682,2025.11.20,접수,「제3기 국가비전과 국정과제 심화과정」교육 안내 및 대상자 추천 요청,전북특별자치도인재개발원 교육지원과,이재연,이재연,접수,O,전자,X,교육지원과-11920,대국민공개,O,,,
16681,2025.11.20,접수,2025년 11월 중앙공모사업 추진상황 제출 협조 요청,전북특별자치도 정책기획관,전대웅,,담당확인,O,전자,X,정책기획관-14013,비공개,O,내부검토 과정,,
16680,2025.11.20,접수,전주시 CCTV 통합관제센터 AI CCTV 도입률 및 AI 관제 관련 기술 현황 자료 제출,전주시 정보화정책과,김대연,김대연,접수,O,전자,X,정보화정책과-14639,비공개,O,"(5호) 감사, 감독, 계약, 의사결정 등 관련 정보",,
16679,2025.11.20,접수,통합관제센터 AI CCTV 도입률 및 AI 관제관련 기술 현황 제출,장수군 안전재난과,김대연,김대연,접수,O,전자,X,안전재난과-36512,비공개,O,"(5호) 감사, 감독, 계약, 의사결정 등 관련 정보",,
16678,2025.11.20,접수,2026년 온나라 및 전자문서유통지원센터 유지관리 사업 위·수탁 계약 체결 안내,한국지역정보개발원 문서정보부,김영대,김영대,접수,O,전자,X,문서정보부-2625,비공개,O,"(5호) 감사, 감독, 계약, 의사결정 등 관련 정보 (7호) 법인 등의 경영, 영업비밀 관련 정보",,
16677,2025.11.20,접수,행정정보공동이용시스템 점검 및 공통인프라 교체작업에 따른 서비스 중단 안내,행정안전부 행정정보공유과,김영대,,담당확인,O,전자,X,행정정보공유과-7502,비공개,O,"(5호) 감사, 감독, 계약, 의사결정 등 관련 정보",,
16676,2025.11.20,접수,중앙부처 법령 제·개정안 의견조회(소방장비관리법 등 22건),전북특별자치도 법무행정과,이재연,,담당확인,O,전자,X,법무행정과-10378,비공개,O,내부검토,,
16675,2025.11.20,접수,2025년 11월 사이버보안진단의 날 실시 결과 제출,전북특별자치도보건환경연구원 미세먼지분석과,김윤주,김윤주,접수,O,전자,X,미세먼지분석과-3758,비공개,O,정보 보안,,
16670,2025.11.20,접수,지자체 통합관제센터 AI CCTV 도입률 및 AI 관제 관련 기술 현황 제출,무주군 안전재난과,김대연,김대연,접수,O,전자,X,안전재난과-24686,부분공개,O,"(5호) 감사, 감독, 계약, 의사결정 등 관련 정보",,
16669,2025.11.20,접수,ECO융합섬유연구원 2025년 4분기 홈페이지 취약점 보완 조치 결과보고 제출,ECO융합섬유연구원 경영지원실,정연호,정연호,접수,O,전자,X,경영지원실-6940,대국민공개,O,,,
16668,2025.11.20,접수,통합관제센터 AI CCTV 도입률 및 AI 관제 관련 기술 현황 조사 현황 제출,진안군 행정지원과,김대연,김대연,접수,O,전자,X,행정지원과-28673,대국민공개,O,,,
16667,2025.11.20,접수,청렴도 및 만족도 조사시스템 '25년 10월 명부 제출 협조,전북특별자치도감사위원회 사무국,이재연,,담당확인,O,전자,X,사무국-15259,부분공개,O,개인정보 등,,
16666,2025.11.20,접수,개인정보처리시스템 접속기록 및 개인정보 다운로드 점검결과 제출,전북특별자치도감사위원회 사무국,강혜준,강혜준,접수,O,전자,X,사무국-15258,비공개,O,감사 시스템 자료,,
16664,2025.11.20,접수,지자체 통합관제센터 AI CCTV 도입률 및 AI 관제 관련 기술 현황 조사 협조 요청 회신,김제시 정보통신과,김대연,김대연,접수,O,전자,X,정보통신과-16979,비공개,O,"(5호) 감사, 감독, 계약, 의사결정 등 관련 정보",,
16663,2025.11.20,접수,진실화해를위한과거사정리위원회 기관 폐지(예정)에 따른 전자문서 유통 중단 안내,진실화해를위한과거사정리위원회 운영지원담당관,김영대,,담당확인,X,전자,X,운영지원담당관-4350,대국민공개,O,,,
16662,2025.11.20,접수,2026년('25년 실적) 지자체 합동평가 지표 조정매뉴얼(11.4.기준) 책자 배부,전북특별자치도 자치행정과,전대웅,,담당확인,O,전자,X,자치행정과-11656,대국민공개,O,,,
16661,2025.11.20,접수,"행정포털 팝업창 게시 요청('25년 실적 지자체 합동평가 실국별 추진상황, 10월말 기준)",전북특별자치도 자치행정과,김영대,김영대,접수,O,전자,X,자치행정과-11655,비공개,X,평가실적 비공개,,
16657,2025.11.20,접수,원격접속시스템 및 통합인증 관련 보안강화 협조,전북특별자치도 행정정보과,이재연,,담당확인,O,전자,X,행정정보과-15267,비공개,O,내부 보안 자료,,
16656,2025.11.20,접수,행정안전부 조직개편에 따른 전자문서유통 중단 및 조직정보(LDAP) 변경 안내,행정안전부 데이터정보화담당관,김영대,,담당확인,O,전자,X,데이터정보화담당관-7059,대국민공개,O,,,
16655,2025.11.20,접수,「2025년 규제혁신 유공자 도지사 포상 계획」 안내 및 대상자 추천 요청,전북특별자치도 자치제도과,이재연,,담당확인,O,전자,X,자치제도과-5340,대국민공개,O,,,
